id,title,company,city,remote,published_at,skills,url,requirements,conditions,employment,salary_to,currency,salary_from,remote_work,experience_years,requirements_techs,conditions_techs,all_techs,salary_estimated,salary_rub,salary_category,experience_category,seniority_level,job_function,skills_count,city_original,employment_original
1000150203,Data Governance Manager / Руководитель направления по управлению данными,AstraZeneca,Москва,False,2025-05-04 19:54:09+03:00,"субд, системами управления данными, etl и bi инструментами будет плюсом, SQL, Системный анализ, Анализ данных, Business intelligence, DWH, Инженер по данным, разработки и внедрения политик и процедур управления данными",https://career.habr.com/vacancies/1000150203,"Высшее образование в области информационных технологий, статистики или смежных дисциплин. Опыт работы в области управления данными не менее 3 лет. Глубокие знания принципов и методов управления данными Понимание принципов проектирования хранилищ данных и моделей данных Опыт организации процессов работы с данными из различных источников, управления качеством данных; Навыки разработки и внедрения политик и процедур управления данными. Опыт работы с системами управления данными (DataHub, Open Metadata, AWS Glue Data Catalog, Collibra, etc), опыт работы с СУБД. Опыт работы с ETL и BI инструментами будет плюсом. Умение работать в команде, коммуникабельность и организаторские способности.","Работа в международной инновационной компании с одним из лучших в индустрии портфелем препаратов, спасающих жизни пациентов. Культура открытости и взаимопомощи. Экспертная команда, возможность самостоятельного построения процессов и глубокого погружения в бизнес, высокий темп работы и возможность использовать современные технологии и инструменты. Возможности профессионального и карьерного роста, обучение и развитие Уровень компенсации обсуждается индивидуально в зависимости от опыта, участие в бонусной схеме в соответствии с корпоративной политикой. Участие в программе гибких льгот (возможность компенсировать затраты на спорт/медицину/путешествия и пр). Забота о сотрудниках: ДМС со стоматологией с первого рабочего дня, страхование жизни и путешественников; внутренняя программа поддержки здоровья и благополучия сотрудников(well-being); программы помощи сотрудникам в трудных жизненных ситуациях; программа корпоративных скидок PrimeZone (спорт, отдых, рестораны, обучение и не только). Широкий спектр для обучения и развития: возможность изучения языков, корпоративная платформа для обучения «AZ Grow», внешние тренинги и конференции, возможность участия в волонтерских программах и пр. 5 дополнительных дней отпуска, 3 дня day-off. Современный, комфортный офис класса А в Москва-Сити. Гибкое время начала рабочего дня (диапазон с 8.00 до 10.00). Возможность гибридного графика. Гибридный график. Официальное трудоустройство согласно ТК РФ в компанию, входящую в реестр IT-компаний.",,,,,False,3.0,"aws, etl, etl и bi инструментами будет плюсом, разработки и внедрения политик и процедур управления данными, субд",,"aws, etl, etl и bi инструментами будет плюсом, разработки и внедрения политик и процедур управления данными, субд",,,,Middle (3-4 года),Middle,Manager,10,Москва,
1000151121,Data-аналитик (Senior),ИТ-Холдинг Т1,,True,2025-05-04 17:39:17+03:00,"Старший (Senior), Greenplum, для нас важны, SQL, ETL, DWH, Аналитик по данным, PostgreSQL",https://career.habr.com/vacancies/1000151121,"Вместе с нами ты будешь: проектирование и тестирование процессов ETL и витрин данных; разработка и оптимизация сложных sql-скриптов (postgres, Arenadata DB Greenplum); интервьюирование заказчика, подготовка и согласование требований; анализ качества данных витрин на соответствие требованиям заказчика; разработка технической документации, тест-кейсов и др. Какие знания и навыки для нас важны: имеешь опыт коммерческой разработки ПО от 2-х лет; тестировал процессы ETL, витрины данных; важен опыт написания сложных и производительных sql-запросов (оконные функции); опыт оптимизации sql-запросов; разработка технической документации, тест-кейсов и др.; работал с концептуальной, логической и физической моделями данных; понимаешь принципы построения DWH; имеешь опыт разработки проектной документации и технических дизайнов (бизнес-объекты, маппинг, модель данных, статусная модель).","ВЫСОКИЙ уровень дохода: оклад + годовая премия. ЗАБОТА: ДМС, кафетерий льгот. РАЗВИТЕ: обучение за счет компании. СВОБОДА: удаленный формат работы; комфортные офисы в 8 городах, включая Минск, для тех, кто хочет посещать офис. БЕЗОПАСНОСТЬ: ИТ-аккредитованная компания в России.",Полный рабочий день,,,,True,,"тестирование, etl, postgres, sql",,"тестирование, etl, postgres, sql",,,,,Senior,Analyst,8,,Полный рабочий день
1000151049,Data engineer,ИТ-Холдинг Т1,,True,2025-05-04 11:27:32+03:00,"Старший (Senior), SQL, реляционными и nosql базами данных опыт работы с различными субд в роли разработчика, Python, Apache Hadoop, Инженер по данным",https://career.habr.com/vacancies/1000151049,"Чем предстоит заниматься: Проектирование и разработка витрин данных (Hive-SQL, Spark) с погружением в бизнес-процессы и аналитику данных. Уточнение требований заказчика, системный анализ, изучение бизнес-процессов систем источников. Доработка существующих витрин. Автоматизация процессов обновления данных (AirFlow). 3 линия поддержки. Тестирование нового функционала и витрин в DataLake Выстраивание процессов Data Governance на инфраструктуре Hadoop совместно с CDO Банка. Контроль качества данных в хранилище (Hadoop) – постановка задач, анализ. Предоставление экспертной поддержки внутренним потребителям (data analysts,data scientists). Что для нас важно: SQL: вложенные запросы, оконные функции, опыт написания функций / процедур Понимание основных концепций DWH Понимание базовых команд Git и основных принципов работы Понимание основных банковских процессов (достаточно одного): кредитование, процессинг, депозиты или других Опыт работы с реляционными и noSQL базами данных Опыт работы с различными СУБД в роли разработчика / аналитика витрин данных.","гибкий формат работы — в офисе, удаленно или в гибридном формате; программа добровольного медицинского страхования; широкие возможности внутреннего и внешнего обучения, корпоративные онлайн библиотеки; Сервис привилегий от 100+ партнёров на покупку техники, занятия спортом и иностранными языками, концерты, отели, SPA и др. А также развитая программа компенсации и маркетплейс мерча с собственной корпоративной валютой. необходимая техника и софт для работы; конкурентная зарплата по итогам интервью и оформление по ТК.",Полный рабочий день,,,,True,,"тестирование, sql, git, nosql, airflow, spark, hadoop",,"тестирование, sql, git, nosql, airflow, spark, hadoop",,,,,,Data Engineer,6,,Полный рабочий день
1000153837,Data Engineer\ Разработчик БД SQL,Data World,Санкт-Петербург,False,2025-05-03 22:27:10+03:00,"Средний (Middle), Apache Spark, Apache Kafka, Разработчик баз данных, SQL, реляционными бд, Apache Hadoop, инструментами машинного обучения apache mahout и, PostgreSQL",https://career.habr.com/vacancies/1000153837,"Опыт работы от 3 лет со всеми указанными инструментами по направлению Hadoop: HDFS, MapReduce, Yarn, Hadoop Common, Apache Tez, Apache Solr, Apache Pig, Sqoop и/или Flume, Apache Hive и/или Spark SQL, Apache Kafka; Опыт работы с реляционными БД (Oracle DB и/или PostgreSQL и/или MySQL); Опыт оптимизации производительности SQL запросов (план запроса, индексы, дистрибуция, full scan); Опыт работы с инструментами машинного обучения Apache Mahout и/или Apache Spark MLLib; Опыт разработки API (REST); Опыт участия в оптимизации процессов сбора, первичная обработка и хранение большого объема данных из различных типов источников; Опыт интеграции инфраструктурных компонент cо сторонними системами; Опыт оптимизации моделей хранения данных; Опыт командной разработки с использованием программных продуктов Confluence и Jira. Опыт работы, как в каскадных (waterfall), так и в гибких методологиях (Agile и/или DevOps и/или Scrum) разработки.","Работа в офисе: Москва, Поклонная или Санкт-Петербург, Уральская Оформление в соответствии с ТК РФ (можем рассмотреть формы сотрудничества). Гибкое начало рабочего дня. Входим в список IT лицензированных аккредитованных компаний Уровень дохода зависит от уровня кандидата, обсуждается индивидуально Предоставление техники ДМС+ стоматология Изучение английского языка Корпоративный спортзал Корпоративные активности: профессиональные митапы, квизы Прокачка скилов в экспертном IT пространстве",Полный рабочий день,230000.0,RUB,,False,3.0,"sql, kafka, postgresql, devops, spark, hadoop",,"sql, kafka, devops, postgresql, spark, hadoop",195500.0,195500.0,100K-200K,Middle (3-4 года),Middle,Data Engineer,9,Санкт-Петербург,Полный рабочий день
1000156054,DWH разработчик (трайб Data office),ОТП Банк,,True,2025-05-03 16:51:11+03:00,"Инженер по данным, Oracle, cdc, Средний (Middle)",https://career.habr.com/vacancies/1000156054,"Опыт разработки PL/SQL для хранилищ данных от 2-х лет Опыт ETL-разработки - Informatica PC/ SAS DIS/ IBM DS/ ODI от 2-х лет Опыт оптимизации запросов в Oracle Понимание принципов проектирования хранилищ данных Как преимущество: Опыт работы с CDC-инструмента - Informatica PowerExchange, Oracle GoldenGate Опыт BI-разработки (Tableau/Power BI) СУБД: GreenPlum, ClickHouse ETL: Airflow, Spark Языки программирования: Python,Java, Scala (последние 2 скорее в 2024) Объектное хранилище: HDFS","Красивый офис/удобное рабочее место (м. Войковская) или удаленка на территории РФ ; Возможность изменять время начала и конца рабочего дня по согласованию с руководителем; Отсутствие строгого дресс-кода (мы лояльны к любому проявлению личного стиля); Программы поощрения ОТП Мания (когда ты за внутреннюю валюту можешь купить себе как толстовку, так и day-off, например); Welcome pack; ДМС (а также возможность его замены на фитнес); Льготные условия по кредитам и депозитам; BestBenefits – сервис скидок и привилегий (техника и электроника, рестораны и доставка, обучение, отдых, спорт, красота и здоровье, товары, развлечения, услуги, детские товары и развлечения); Управленческое обучение, развитие навыков личной эффективности, профессиональное развитие; Участие в корпоративных и спортивных мероприятиях (он-лайн и офф-лайн); Корпоративная библиотека; Детские подарки к Новому Году.",Удаленная работа,,,,True,,"scala, power bi, sql, java, etl, tableau, python, clickhouse, airflow, spark",,"scala, power bi, sql, java, etl, tableau, python, clickhouse, airflow, spark",,,,,,Software Developer,4,,Можно удаленно
1000150881,Data аналитик (Виртуальные ассистенты),ИТ-Холдинг Т1,Нижний Новгород,False,2025-05-03 15:35:03+03:00,"Средний (Middle), навыки написания сложных sql, базами данных, SQL, Python, методами анализа данных и моделирования, Аналитик по данным, написания сложных sql, big data владение методами анализа данных и моделирования",https://career.habr.com/vacancies/1000150881,"Опыт работы с базами данных, навыки написания сложных SQL-запросов, процедур, пакетов, оптимизации кода Опыт работы с Big Data Владение методами анализа данных и моделирования (Python + библиотеки для анализа данных) Ответственность Самостоятельность Чем предстоит заниматься: Развитие внутреннего сервиса по построению рекомендаций для сотрудников Разработка и реализация различных метрик операционного качества Обработка ошибок в роли 3й линии поддержки Сопровождение изменений в ПО и интеграции с внешними источниками Работа с базами данных и техническое описание процессов Запуск пилотов, стабилизационные работы и контроль Поиск, проработка и реализация сценариев по оптимизации операционного качества","мы предлагаем принять участие в создании перспективных и масштабных продуктов/проектов, использовать лучшие современные практики и технологии; гибкий формат работы — в офисе, удаленно или в гибридном формате; программа добровольного медицинского страхования; широкие возможности внутреннего и внешнего обучения, корпоративные онлайн библиотеки; Сервис привилегий от 100+ партнёров на покупку техники, занятия спортом и иностранными языками, концерты, отели, SPA и др. А также развитая программа компенсации и маркетплейс мерча с собственной корпоративной валютой. необходимая техника и софт для работы; конкурентная зарплата по итогам интервью и оформление по ТК. Мы быстро назначаем и проводим собеседования: интервью с HR -> техническое интервью -> оффер . Будем рады видеть вас частью нашей большой команды.",Новосибирск,,,,True,,"sql, python",,"sql, python",,,,,,Analyst,9,Нижний Новгород,Новосибирск
1000150875,Data Scientist (Моделирование РБ),ИТ-Холдинг Т1,Москва,True,2025-05-03 15:27:19+03:00,"Apache Spark, Средний (Middle), dl приветствуется, Ученый по данным, SQL, soft, текстовыми данными приветствуется, Python, python, spark, алгоритмов ml",https://career.habr.com/vacancies/1000150875,"Требования: Опыт работы в банковском/финансовом/телеком/ритейл секторе от 2-х лет в роли аналитика/DS, понимание банковских бизнес-процессов, опыт в моделировании. Уверенное владение Python, Spark. Знание алгоритмов ML: деревьев решений и случайных лесов, регрессии, бустингов, кластеризации, временных рядов и др., понимание принципов работы рекомендательных систем и лежащих в основе алгоритмов, опыт работы с текстовыми данными приветствуется (NLP: тематическое моделирование, поиск ключевых слов, анализ тональности, задачи суммаризации, шаблонизации и др.). Умение работать в условиях многозадачности, самостоятельность. Знание DL приветствуется: опыт обучения и использования нейросетей и предобученных моделей (RNN, LSTM, BERT, GPT). Развитые навыки soft-skills. Опыт написания ТЗ, БТ, проектной документации. Способность поддержки full-stack разработки от сбора требований к задаче до реализации, документации и последующего мониторинга моделей. Наличие публикаций по ML/DL, опыт выступления на ML-конференциях – как плюс. Ценится проактивный и творческий подход в решении задач.","принять участие в создании перспективных и масштабных продуктов/проектов, нацеленных на улучшение ____, использовать лучшие современные практики и технологии; гибкий формат работы — в офисе, удаленно или в гибридном формате; программа добровольного медицинского страхования; широкие возможности внутреннего и внешнего обучения, корпоративные онлайн библиотеки; Сервис привилегий от 100+ партнёров на покупку техники, занятия спортом и иностранными языками, концерты, отели, SPA и др. А также развитая программа компенсации и маркетплейс мерча с собственной корпоративной валютой. необходимая техника и софт для работы; конкурентная зарплата по итогам интервью и оформление по ТК. Мы быстро назначаем и проводим собеседования: интервью с HR -> техническое интервью -> оффер . Будем рады видеть вас частью нашей большой команды.",Полный рабочий день,,,,True,,"ml, spark, python",,"ml, spark, python",,,,,,Data Scientist,11,Москва,Полный рабочий день
1000150837,Data engineer,ИТ-Холдинг Т1,Москва,False,2025-05-03 13:35:42+03:00,"Средний (Middle), Greenplum, банковского бух, SQL, Apache Airflow, ETL, git, docker опыт работы с airflow навыки разработки проектной и технической документации, разработки проектной и технической документации, greenplum знание python, python, DWH, Инженер по данным, sql понимание принципов работы mpp субд опыт работы с git",https://career.habr.com/vacancies/1000150837,"Обязанности: Разработка витрин данных в DWH Greenplum Разработка витрин данных Oracle Взаимодействие с аналитиками и командами развития платформ хранения и обработки данных Разработка регламентных ETL потоков обработки данных в DWH – Airflow\Greenplum Поставки кода в соответствии с процессом CI\CD Участие в разработке фреймворка (предложения и рекомендации по развитию функциональности фреймворка) Участие в проведении тестирований Формирование сопроводительной документации для передачи потоков на линию сопровождения Требования: Опыт работы в IT-сфере от 3-х лет; Высшее экономическое или техническое; специальность/направление образования: информационные технологии, автоматика, прикладная математика, программирование, а также другие технические специальности. Опыт разработки ETL-потоков в промышленных хранилищах данных DWH, от 1 года. Хорошее знание SQL Понимание принципов работы MPP СУБД Опыт работы с GIT, Docker Опыт работы с Airflow Навыки разработки проектной и технической документации. Проактивная позиция при решении поставленных задач, целеустремленность, коммуникабельность, вежливость. Будет плюсом: Опыт работы в Банковской/Финансовый сфере Знание банковского бух.учета и банковских продуктов. Понимание бизнес-процессов коммерческого банка, ограничений и регулирования его деятельности. Опыт работы по Agile (Scrum, Kanban) Опыт работы с Greenplum Знание Python","Комфортные офисы и гибкий рабочий день В офисе, удаленно или в гибридном формате. Главный офис у м. Динамо в Москве — победитель в номинации «Гибкий офис» Best Office Awards 2023 ДМС и телемедицина ДМС с телемедициной и возможностью подключения родственников и Добросервис для психологической, юридической и финансовой поддержки Участие в конференциях и профессиональное обучение Бесплатное обучение, LMS платформа с 70+ курсами для развития технических и коммуникационных навыков, программа наставничества, а также 12+ активных сообществ и техногильдий Интересные задачи, производительное железо и софт для работы Востребованные на рынке ИТ‑продукты, ключевые ‑ уже внесены в ЕРРП (реестр российского ПО) Насыщенная корпоративная жизнь и нетворкинг Масштабные таунхоллы и яркие неформальные события, регулярные митапы, корпоративная библиотека, активные сообщества и многое другое Скидки и партнерские программы Сервис привилегий от 100+ партнёров на покупку техники, занятия спортом и иностранными языками, концерты, отели, SPA и др. А также развитая программа компенсации и маркетплейс мерча с собственной корпоративной валютой Конкурентная заработная плата Достойный оклад по итогам интервью и система премирования. Оформление по ТК и эксклюзивный зарплатный проект для сотрудников в банке ВТБ Дополнительные выходные и материальная помощь Рождение ребёнка, поддержка многодетных семей и одиноких родителей, смерть членов семьи и др. Дополнительный оплачиваемый отпуск (3 календарных дня)",Казань,,,,True,,"разработки проектной и технической документации, sql понимание принципов работы mpp субд опыт работы с git, docker, sql, docker опыт работы с airflow навыки разработки проектной и технической документации, банковского бух, git, etl, python, greenplum знание python, airflow",,"разработки проектной и технической документации, sql понимание принципов работы mpp субд опыт работы с git, docker, docker опыт работы с airflow навыки разработки проектной и технической документации, sql, банковского бух, git, etl, python, greenplum знание python, airflow",,,,,Junior,Data Engineer,14,Москва,Казань
1000156036,Python разработчик (Трайб Data Office),ОТП Банк,Москва,True,2025-05-03 13:27:27+03:00,"Средний (Middle), camunda, linux, apache airflow, swagger, elasticsearch, nginx, Vue.js, Python, python, Бэкенд разработчик, keycloak, HTML, java",https://career.habr.com/vacancies/1000156036,"Что мы ждём от тебя: Знание Python (с уклоном в backend/fullstack), html, js, css (vanilla js, vue/react); Опыт работы с Linux. Будет плюсом: Знание Nginx, keycloak, camunda, swagger, ElasticSearch, Apache Airflow, Java/Groovy. Чем предстоит заниматься: DATA GOVERNANCE & DATA QUALITY Доработка, настройка и сопровождение платформы Data Governance & Data Quality; Загрузка метаданных в платформу (интеграция с системами источниками, постановка на расписание, контроль загрузки данных); Настройка и управление ролевой моделью Data Governance; Реализация отчетности по управлению данными Банка; Разработка собственной аналитической платформы по управлению данными (Data Portal); Разработка платформы Data Quality; Реализация контролей качества данных; Настройка оркестрации выполнения проверок качества данных; Тестирование разработанного функционала Data Governance & Data Quality; Поддержание документации реализованного\настроенного функционала платформы Data Governance & Data Quality.","Красивый офис/удобное рабочее место (м. Войковская) или удаленка на территории РФ ; Возможность изменять время начала и конца рабочего дня по согласованию с руководителем; Отсутствие строгого дресс-кода (мы лояльны к любому проявлению личного стиля); Программы поощрения ОТП Мания (когда ты за внутреннюю валюту можешь купить себе как толстовку, так и day-off, например); Welcome pack; ДМС (а также возможность его замены на фитнес); Льготные условия по кредитам и депозитам; BestBenefits – сервис скидок и привилегий (техника и электроника, рестораны и доставка, обучение, отдых, спорт, красота и здоровье, товары, развлечения, услуги, детские товары и развлечения); Управленческое обучение, развитие навыков личной эффективности, профессиональное развитие; Участие в корпоративных и спортивных мероприятиях (он-лайн и офф-лайн); Корпоративная библиотека; Детские подарки к Новому Году.",Полный рабочий день,,,,True,,"тестирование, elasticsearch, fullstack, linux, java, backend, python, js, react, airflow, vue",,"тестирование, elasticsearch, fullstack, linux, java, backend, python, js, react, airflow, vue",,,,,,Software Developer,14,Москва,Полный рабочий день
1000150810,Ведущий разработчик (BIG DATA Моделирование РБ),ИТ-Холдинг Т1,,True,2025-05-03 12:33:21+03:00,"паттернов проектирования микросервисов, принципов ооп, bigdata, для нас важны, SQL, JavaScript, корпоративными хранилищами данных и понимание принципов их построения, Python, знание opencl, python, Apache Hadoop, Бэкенд разработчик, алгоритмов ml, пакетов nvidia для работы с данными и ml на базе cuda, инструментами git, java",https://career.habr.com/vacancies/1000150810,"Какие знания и навыки для нас важны: - Знание принципов ООП - Знание Python - Опыт разработки веб-приложений/сервисов (Python/Java/JavaScript) - Опыт работы с BigData (Hadoop, pySpark, Airflow) - Знание алгоритмов ML - Уверенные знания SQL - Опыт работы с корпоративными хранилищами данных и понимание принципов их построения - Понимание методик unit-тестирования - Опыт работы с инструментами Git/Jenkins - Понимание принципов CI/CD Будет плюсом: - Опыт работы с BigData (Spark Streaming, Flink ML, Kafka, Artemis) - Знание паттернов проектирования микросервисов - Знание Java/ C++ - опыт работы с ML-библиотеками и библиотеками для работы с данными: pandas, numpy, sklearn, catboost, xgboost, lightgbm, pytorch, tf и др.) - Знание пакетов NVIDIA для работы с данными и ML на базе CUDA, знание OpenCL","- Разработкой кода для применения ML-решений в промышленных процессах Банка. - Проектированием и реализация решений для промышленного применения ML алгоритмов - Участвовать в системном анализе, оценке и обсуждении требований заказчика - Участвовать в развертывании ПО на тестовых и продуктивных средах - Участвовать в code review - Написанием Unit-тестов - Работать в Agile-команде",Полный рабочий день,,,,True,,"sql, java, git, javascript, numpy, пакетов nvidia для работы с данными и ml на базе cuda, python, spark, kafka, знание opencl, pytorch, airflow, ml, ci/cd, pandas, hadoop",ml,"sql, java, git, javascript, numpy, пакетов nvidia для работы с данными и ml на базе cuda, python, ci/cd, kafka, знание opencl, pytorch, airflow, ml, spark, pandas, hadoop",,,,,Senior,Software Developer,16,,Полный рабочий день
